#--------------------------------------------
#             Time Period            
#--------------------------------------------
T		2

#--------------------------------------------
#             Maximum Demand          
#--------------------------------------------
d_max		2

#--------------------------------------------
#             Current Inventory          
#--------------------------------------------
I0		1

#--------------------------------------------
#             Holding Cost
#--------------------------------------------
h		5

#--------------------------------------------
#             Penalty Cost
#--------------------------------------------
p	        7

#--------------------------------------------
#             Admin Cost
#--------------------------------------------
c	        2

#--------------------------------------------
#     Procurement Cost Per Piece
#--------------------------------------------
k	        3

#--------------------------------------------
#         Probabilities for each event
#--------------------------------------------
p1	        1/3
p2		1/3
p3		1/3

#--------------------------------------------
#         Probabality Events
#--------------------------------------------
dk1	        0
dk2		1
dk3		2





